"Filogênese (F)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Escrita (E)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCPOCD","Percepção e Apresentação e Colaboração Discursiva",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCPLPA","Percepção e Entendimento do Princípio alfabético",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCPLCL","Percepção e Compreensão Leitora",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCPESE","Percepção e Sistema de Escrita",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCPERL","Percepção e Reconhecimento das Letras",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCPECG","Percepção e Domínio das Convenções gráficas",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCPEDF","Percepção e Desenvolvimento da Consciência Fonológica",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCPEPE","Percepção e Produção Escrita",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Emoção (E)",,,,,,,,,,,,,,,,,,,,,
"FEMFCEOFC","Emoção e Consciência Fonêmica",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCEOLO","Emoção e Expressão e Compreensão da Emoção Oral",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"FEMFCEOCD","Emoção e Apresentação e Colaboração Discursiva",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
